"COUNTRY","Country","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HospitalBeds","HealthExpenditure","Internet","Physicians","country","region","happiness","gdp","social_support","perceived_freedom","generosity","perception_of_corruption"
"26","CIV","Côte d'Ivoire","Africa","Sub-Saharan Africa",62.91527,58.59967,24294.75,57.65,13.61824,4,5.71627,2.37896,0.143,"Ivory Coast","Sub-Saharan Africa",5.233300209,8.225561142,0.658048689,0.727909327,-0.043991156,0.790771961
"27","CMR","Cameroon","Africa","Sub-Saharan Africa",62.35601,50.17328,24053.727,65.42,10.14818,13,4.10367,5.69899,0.083,"Cameroon","Sub-Saharan Africa",5.084899902,8.118647575,0.700386405,0.763051808,-0.00149645,0.851336598
"28","COD","Democratic Republic of the Congo","Africa","Sub-Saharan Africa",62.35105,66.10814,81339.988,42.5,12.81288,8,4.32823,1.67996,0.091,"Congo (Kinshasa)","Sub-Saharan Africa",4.31099987,6.694256306,0.672159016,0.700793564,0.083637655,0.809403598
"29","COG","Congo","Africa","Sub-Saharan Africa",64.73853,34.85063,5260.75,42.88,15.95209,16,5.15141,6.1067,0.108,"Congo (Brazzaville)","Sub-Saharan Africa",5.194399834,8.536987305,0.640228093,0.719058514,-0.123674095,0.751779079
"30","COL","Colombia","Americas","Latin America & Caribbean",79.31356,11.83797,49065.615,18.45,38.27661,17.1,7.2013,48.98432,1.821,"Colombia","Latin America and Caribbean",6.163400173,9.500369072,0.884440243,0.836179912,-0.161235645,0.86457181
"31","COM","Comoros","Africa","Sub-Saharan Africa",67.3913,48.28005,813.912,15.34,10.99022,21.6,6.74764,5.9753,0.19,"Comoros","Sub-Saharan Africa",4.288599968,7.833630085,0.625662446,0.547612607,0.090008408,0.780622602
"32","CRI","Costa Rica","Americas","Latin America & Caribbean",80.84692,7.54357,4905.769,18.69,12.58593,11,9.31311,47.50092,1.15,"Costa Rica","Latin America and Caribbean",7.121399879,9.658156395,0.901545942,0.934738934,-0.10242971,0.786332428
"33","CYP","Cyprus","Asia","Europe & Central Asia",83.14104,1.83956,1179.551,14.72,1.27559,33.996,7.36761,61,2.496,"North Cyprus","Western Europe",5.53550005,10.40570259,0.820356607,0.79529351,0.000227159,0.62611568
"34","CYP","Cyprus","Asia","Europe & Central Asia",83.14104,1.83956,1179.551,14.72,1.27559,33.996,7.36761,61,2.496,"Cyprus","Western Europe",6.15899992,10.40570259,0.805996239,0.779858291,0.043731496,0.856271744
"35","CZE","Czechia","Europe","Europe & Central Asia",79.1303,2.52872,10591.323,15.41,0.61984,66.2,7.41091,75,3.677,"Czech Republic","Central and Eastern Europe",6.910900116,10.40416336,0.914430678,0.818537354,-0.230861515,0.85844624
"36","DEU","Germany","Europe","Europe & Central Asia",81.72252,3.21893,82695,11.51,0.85955,80,11.297,84,4.191,"Germany","Western Europe",7.075799942,10.7328186,0.898874462,0.867371082,0.080179386,0.456422031
"37","DNK","Denmark","Europe","Europe & Central Asia",81.31571,3.24069,5769.603,9.85,1.09173,26,10.80496,93,3.655,"Denmark","Western Europe",7.645599842,10.77400112,0.955990791,0.951444268,0.066201776,0.168489456
"38","DOM","Dominican Republic","Americas","Latin America & Caribbean",72.84367,23.45183,10766.998,16.04,4.97074,15.56,4.37578,45,1.494,"Dominican Republic","Latin America and Caribbean",5.689199924,9.664880753,0.882085383,0.866202772,-0.131263286,0.755999923
"39","DZA","Algeria","Africa","Middle East & North Africa",77.13415,19.95487,41318.142,35.18,1.65664,19,7.20718,15.22803,1.192,"Algeria","Middle East and North Africa",5.005099773,9.537964821,0.803385139,0.466610909,-0.121105164,0.735485137
"40","ECU","Ecuador","Americas","Latin America & Caribbean",78.44662,12.03793,16624.858,19.55,6.96277,13.92792,9.16109,35.13451,1.665,"Ecuador","Latin America and Caribbean",5.925199986,9.246058464,0.836418986,0.859828949,-0.127014965,0.801215112
"41","EGY","Egypt","Africa","Middle East & North Africa",71.81616,17.32536,97553.151,72.31,1.7388,14.3,5.64212,44.07,0.814,"Egypt","Middle East and North Africa",4.151400089,9.316541672,0.735447824,0.708354175,-0.196878314,0.787726879
"42","ESP","Spain","Europe","Europe & Central Asia",83.21875,2.60336,46572.028,9.2,0.55968,29.7,9.02989,72,3.872,"Spain","Western Europe",6.400899887,10.46292686,0.921125412,0.751989543,-0.050961714,0.765859902
"43","EST","Estonia","Europe","Europe & Central Asia",78.87813,1.86964,1315.48,6.41,1.17193,45.7,6.37929,79,3.43,"Estonia","Central and Eastern Europe",6.021800041,10.34001732,0.934729993,0.87770915,-0.111697771,0.623073816
"44","ETH","Ethiopia","Africa","Sub-Saharan Africa",68.6994,36.54901,104957.438,31.85,10.68802,3.3,4.88431,1.48281,0.025,"Ethiopia","Sub-Saharan Africa",4.186200142,7.509385586,0.743307352,0.740795195,0.043377332,0.753690004
"45","FIN","Finland","Europe","Europe & Central Asia",81.6124,1.94558,5511.303,5.75,1.1619,36.1,9.67991,91,3.196,"Finland","Western Europe",7.808700085,10.63926697,0.954329729,0.949172199,-0.059482019,0.195444584
"46","FRA","France","Europe","Europe & Central Asia",82.47668,3.77353,67118.648,11.45,0.82539,59.1,11.53952,83,3.238,"France","Western Europe",6.663799763,10.58422279,0.937103748,0.825467646,-0.130641967,0.583521128
"47","GAB","Gabon","Africa","Sub-Saharan Africa",66.46912,31.14586,2025.137,40.81,2.94645,13,3.43747,8.61671,0.406,"Gabon","Sub-Saharan Africa",4.829299927,9.680537224,0.787886858,0.704829216,-0.222261623,0.849150956
"48","GBR","United Kingdom of Great Britain and Northern Ireland","Europe","Europe & Central Asia",81.40353,3.67438,66022.273,10.33,0.98317,24.6,9.11547,87.0162,2.825,"United Kingdom","Western Europe",7.164500237,10.60013485,0.93668282,0.834743679,0.263732493,0.435915917
"49","GEO","Georgia","Asia","Europe & Central Asia",73.2812,8.52702,3717.1,22.15,1.0592,28.936,7.41666,45.5031,4.776,"Georgia","Commonwealth of Independent States",4.672599792,9.226100922,0.629033029,0.801641524,-0.22892037,0.665944695
"50","GHA","Ghana","Africa","Sub-Saharan Africa",66.27741,33.89338,28833.629,54.5,7.56671,9,3.55729,17.10768,0.096,"Ghana","Sub-Saharan Africa",5.147999763,8.350645065,0.728601098,0.794796526,0.094170853,0.847964764
"51","GIN","Guinea","Africa","Sub-Saharan Africa",61.00587,63.81979,12717.176,53.32,13.51293,3,5.6448,1.49014,0.075,"Guinea","Sub-Saharan Africa",4.949299812,7.750990391,0.637573481,0.706846774,0.076328471,0.761794448
"52","GMB","Gambia","Africa","Sub-Saharan Africa",65.4712,35.89288,2100.568,57.74,8.30361,11,7.3404,12.44923,0.107,"Gambia","Sub-Saharan Africa",4.750599861,7.321814537,0.6931687,0.733163178,0.343198717,0.690717816
"53","GRC","Greece","Europe","Europe & Central Asia",81.09948,3.30761,10760.421,14.04,1.39859,42,8.08427,56,6.255,"Greece","Western Europe",5.514999866,10.13232613,0.814380348,0.541345119,-0.300907373,0.859931409
"54","GTM","Guatemala","Americas","Latin America & Caribbean",72.01939,20.74752,16913.503,30.47,7.60238,4.41363,6.2023,16,0.897,"Guatemala","Latin America and Caribbean",6.398900032,8.924805641,0.816621482,0.908147573,-0.042938665,0.783237457
"55","HKG","China, Hong Kong Special Administrative Region","Asia","East Asia & Pacific",NA,NA,7391.7,NA,NA,NA,NA,NA,NA,"Hong Kong S.A.R. of China","East Asia",5.510399818,10.9346714,0.845969081,0.779833794,0.134979904,0.420607209
"56","HND","Honduras","Americas","Latin America & Caribbean",71.93507,14.45317,9265.067,25.47,66.9019,6.42629,8.72268,18.11987,0.39,"Honduras","Latin America and Caribbean",5.953199863,8.424534798,0.821870148,0.870603263,0.086969115,0.801131904
"57","HRV","Croatia","Europe","Europe & Central Asia",78.63747,4.05452,4125.7,17.26,1.08032,55.397,7.80324,63,3.126,"Croatia","Central and Eastern Europe",5.504700184,10.07087517,0.874623716,0.714838803,-0.128538325,0.916495264
"58","HTI","Haiti","Americas","Latin America & Caribbean",64.05315,48.21619,10981.229,17.56,20.68359,7.06974,7.55565,10.8703,0.236,"Haiti","Latin America and Caribbean",3.720799923,7.411329269,0.593247831,0.537825167,0.40053457,0.684767246
"59","HUN","Hungary","Europe","Europe & Central Asia",76.44219,3.0328,9781.127,16.04,1.71515,70.1,7.40078,72,3.093,"Hungary","Central and Eastern Europe",6.000400066,10.24924374,0.921934128,0.718964577,-0.194323018,0.892916501
"60","IDN","Indonesia","Asia","East Asia & Pacific",71.30966,20.24194,263991.379,19.05,2.54813,10.4,2.84686,15.36,0.201,"Indonesia","Southeast Asia",5.285600185,9.36975193,0.808379889,0.870614409,0.519586504,0.876296401
