"COUNTRY","Country","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HospitalBeds","HealthExpenditure","Internet","Physicians","country","region","happiness","gdp","social_support","perceived_freedom","generosity","perception_of_corruption"
"113","PHL","Philippines","Asia","East Asia & Pacific",70.42632,21.63312,104918.09,21.29,24.4062,9.9,4.70999,36.2351,1.11,"Philippines","Southeast Asia",6.006000042,8.993545532,0.846730053,0.915463448,-0.105463006,0.733634114
"114","POL","Poland","Europe","Europe & Central Asia",78.26672,3.76272,37975.841,20.96,1.07172,65.4,6.35025,65,2.29,"Poland","Central and Eastern Europe",6.186299801,10.26512432,0.874257445,0.862055779,-0.205084071,0.686927021
"115","PRT","Portugal","Europe","Europe & Central Asia",81.57421,3.05017,10293.718,7.69,0.56688,34.5,9.50108,64,4.426,"Portugal","Western Europe",5.910900116,10.26374245,0.886590719,0.888747811,-0.220714301,0.892629504
"116","PRY","Paraguay","Americas","Latin America & Caribbean",75.80984,16.6333,6811.297,11.94,8.0279,8.28067,9.81442,27.0758,1.286,"Paraguay","Latin America and Caribbean",5.692100048,9.389982224,0.898727894,0.885923445,0.007997713,0.834788501
"117","PSE","occupied Palestinian territory, including east Jerusalem","Asia","Middle East & North Africa",NA,NA,4684.777,NA,NA,NA,NA,NA,NA,"Palestinian Territories","Middle East and North Africa",4.552800179,8.389223099,0.825295925,0.645791829,-0.162079096,0.824199975
"118","ROU","Romania","Europe","Europe & Central Asia",75.5658,5.69467,19586.539,14.76,1.8593,68.921,5.56501,50,2.669,"Romania","Central and Eastern Europe",6.123700142,10.107584,0.825161517,0.842823207,-0.19781521,0.934300244
"119","RUS","Russian Federation","Europe","Europe & Central Asia",73.23246,4.93072,144495.044,9.8,7.84945,71.2,7.07041,53.2748,3.975,"Russia","Commonwealth of Independent States",5.546000004,10.12887192,0.903150737,0.729892612,-0.151153743,0.864802599
"120","RWA","Rwanda","Africa","Sub-Saharan Africa",69.10349,26.29013,12208.407,39.7,4.33973,16,7.53155,8.02385,0.064,"Rwanda","Sub-Saharan Africa",3.312299967,7.600104332,0.54083544,0.900589406,0.055483952,0.183541179
"121","SAU","Saudi Arabia","Asia","Middle East & North Africa",74.31111,5.68587,32938.213,60.11,1.83692,22.4,4.68408,54,2.568,"Saudi Arabia","Middle East and North Africa",6.406499863,10.79781246,0.874067068,0.854191244,-0.168695062,0.682619512
"122","SEN","Senegal","Africa","Sub-Saharan Africa",68.57918,32.69597,15850.567,59.78,12.20036,3,4.66497,19.2036,0.068,"Senegal","Sub-Saharan Africa",4.980800152,8.118982315,0.723616004,0.690596163,-0.052335154,0.808785141
"123","SGP","Singapore","Asia","East Asia & Pacific",83.22195,2.05011,5612.253,17.24,0.22387,24.86167,4.92279,74.1818,2.276,"Singapore","Southeast Asia",6.377099991,11.39552116,0.910268962,0.926645339,0.029879224,0.109784193
"124","SLE","Sierra Leone","Africa","Sub-Saharan Africa",60.7705,80.92104,7557.212,54.28,3.63908,4,11.0899,1.3,0.024,"Sierra Leone","Sub-Saharan Africa",3.926399946,7.26880312,0.636142015,0.715315044,0.088660747,0.861330688
"125","SLV","El Salvador","Americas","Latin America & Caribbean",75.033,11.43688,6377.853,29.14,84.99625,11.98681,6.7724,25.5,1.922,"El Salvador","Latin America and Caribbean",6.34829998,8.909075737,0.806092262,0.833805263,-0.121072978,0.754319906
"126","SRB","Serbia","Europe","Europe & Central Asia",75.87003,4.62874,7022.268,24.85,1.56994,56.086,10.36881,48.1,2.463,"Serbia","Central and Eastern Europe",5.77820015,9.680980682,0.881475747,0.726495862,-0.073676221,0.843509018
"127","SSD","South Sudan","Africa","Sub-Saharan Africa",62.79444,62.37107,12575.714,34.75,14.3185,NA,2.73842,NA,NA,"South Sudan","Sub-Saharan Africa",2.816600084,7.425359726,0.553707123,0.451313615,0.016518548,0.763417304
"128","SVK","Slovakia","Europe","Europe & Central Asia",78.23097,4.68318,5439.892,17.82,0.6449,57,8.05405,80,3.45,"Slovakia","Central and Eastern Europe",6.280600071,10.34774971,0.922493756,0.749952674,-0.124409303,0.918096125
"129","SVN","Slovenia","Europe","Europe & Central Asia",81.30905,1.66051,2066.748,16.29,0.79041,44.3,9.23389,70,2.82,"Slovenia","Central and Eastern Europe",6.363399982,10.39232254,0.939575672,0.936142623,-0.080603383,0.817071021
"130","SWE","Sweden","Europe","Europe & Central Asia",82.40387,2.08277,10067.744,5.73,1.12503,21.4,11.92984,94,4.188,"Sweden","Western Europe",7.353499889,10.75879383,0.926311195,0.939144194,0.111614622,0.250880182
"131","SWZ","Eswatini","Africa","Sub-Saharan Africa",57.72837,38.56677,1367.254,19.9,29.84147,21,9.25194,20.78178,0.147,"Swaziland","Sub-Saharan Africa",4.308100224,9.16267395,0.770290196,0.646822274,-0.19920142,0.708263338
"132","TCD","Chad","Africa","Sub-Saharan Africa",59.63255,69.096,14899.994,64.27,13.94676,4,3.62116,2.1,0.044,"Chad","Sub-Saharan Africa",4.422699928,7.467963696,0.632388055,0.587305248,0.017834719,0.802760839
"133","TGO","Togo","Africa","Sub-Saharan Africa",64.27029,45.76115,7797.694,45.48,4.8598,7,5.24688,4,0.058,"Togo","Sub-Saharan Africa",4.187200069,7.357711315,0.551312625,0.649828613,0.002667875,0.757733464
"134","THA","Thailand","Asia","East Asia & Pacific",77.6988,7.72087,69037.513,29.83,1.2684,21,4.12,26.5,0.47,"Thailand","Southeast Asia",5.998799801,9.741791725,0.889973223,0.905063033,0.268685192,0.886272311
"135","TJK","Tajikistan","Asia","Europe & Central Asia",69.50127,29.59555,8921.343,34.86,1.82055,46.667,6.88088,14.51,1.714,"Tajikistan","Commonwealth of Independent States",5.555699825,8.024810791,0.835297108,0.831383407,-0.025088511,0.592076063
"136","TKM","Turkmenistan","Asia","Europe & Central Asia",69.74881,36.32164,5758.075,18.24,2.84656,40.283,2.06739,7.1958,2.291,"Turkmenistan","Commonwealth of Independent States",5.119100094,9.74803257,0.958966196,0.826457024,0.187671542,0.883691847
"137","TTO","Trinidad and Tobago","Americas","Latin America & Caribbean",76.12728,15.6558,1369.125,23.32,71.63828,30.23838,5.9332,59.5162,1.821,"Trinidad and Tobago","Latin America and Caribbean",6.191899776,10.26000214,0.91529417,0.857907116,0.000526841,0.912230611
"138","TUN","Tunisia","Africa","Middle East & North Africa",77.03745,14.48669,11532.127,33.27,5.36849,21.8,7.00386,41.4416,1.289,"Tunisia","Middle East and North Africa",4.392199993,9.314972878,0.688718557,0.593361557,-0.216413811,0.867590249
"139","TUR","Turkey","Asia","Europe & Central Asia",78.62457,8.61533,80745.02,37.21,7.98626,28.5,5.41496,45.13,1.749,"Turkey","Middle East and North Africa",5.131800175,10.12941933,0.826313555,0.608830452,-0.171046436,0.748197377
"140","TZA","United Republic of Tanzania","Africa","Sub-Saharan Africa",67.34418,35.97672,57310.019,26.73,3.95176,7,5.58012,13.0803,0.022,"Tanzania","Sub-Saharan Africa",3.476200104,7.967665195,0.688933194,0.82153976,0.109668687,0.619799435
"141","UGA","Uganda","Africa","Sub-Saharan Africa",66.69038,33.43733,42862.958,42.75,13.9485,5,7.22214,14.6896,0.093,"Uganda","Sub-Saharan Africa",4.43200016,7.500389576,0.764994621,0.731713951,0.099487431,0.836737812
"142","UKR","Ukraine","Europe","Europe & Central Asia",73.01635,7.17725,44831.159,13.98,6.2845,74.626,7.09574,33.7,3,"Ukraine","Commonwealth of Independent States",4.56069994,9.010690689,0.878879368,0.663081884,-0.030933706,0.920636714
"143","URY","Uruguay","Americas","Latin America & Caribbean",77.0994,6.06832,3456.75,9.95,14.65478,24.25404,8.58149,55.1146,3.938,"Uruguay","Latin America and Caribbean",6.440100193,9.948192596,0.92281127,0.892395437,-0.101103112,0.635994136
"144","USA","United States of America","Americas","North America",78.49568,5.55743,325719.178,7.43,2.21324,28.7,17.14075,81.0252,2.568,"United States","North America and ANZ",6.939599991,10.92576885,0.914219022,0.842619538,0.149891734,0.699715316
"145","UZB","Uzbekistan","Asia","Europe & Central Asia",73.00793,15.57452,32387.2,28.3,2.24798,39.784,5.83852,36.5213,2.451,"Uzbekistan","Commonwealth of Independent States",6.257599831,8.740371704,0.926595807,0.974998116,0.248427153,0.501497388
"146","VEN","Venezuela (Bolivarian Republic of)","Americas","Latin America & Caribbean",73.94636,21.03844,31977.065,20.26,120.0927,8.71281,5.2567,44.0456,1.925,"Venezuela","Latin America and Caribbean",5.053199768,8.977793694,0.890408158,0.62327832,-0.169090509,0.837038398
"147","VNM","Viet Nam","Asia","East Asia & Pacific",73.74126,15.88451,95540.8,22.01,1.85073,31.8,7.06678,39.49,0.821,"Vietnam","Southeast Asia",5.353499889,8.809545517,0.849987149,0.939592957,-0.094533332,0.79642123
"148","YEM","Yemen","Asia","Middle East & North Africa",66.63147,43.62303,28250.42,41.46,14.22078,7.1,5.63699,17.4465,0.311,"Yemen","Middle East and North Africa",3.527400017,7.759682655,0.817980587,0.599920273,-0.157735437,0.800287724
"149","ZAF","South Africa","Africa","Sub-Saharan Africa",65.25417,27.51648,56717.156,25.15,58.72516,23,8.79698,41,0.818,"South Africa","Sub-Saharan Africa",4.814099789,9.403370857,0.852532268,0.759330094,-0.109777324,0.843423843
"150","ZMB","Zambia","Africa","Sub-Saharan Africa",62.4529,42.41526,17094.13,30.79,6.45656,20,4.98676,13.4682,0.091,"Zambia","Sub-Saharan Africa",3.759399891,8.224720001,0.698824465,0.806500256,0.078037128,0.801289678
"151","ZWE","Zimbabwe","Africa","Sub-Saharan Africa",60.68252,38.42378,16529.904,25.18,13.08355,17,6.43947,17.0908,0.077,"Zimbabwe","Sub-Saharan Africa",3.299200058,7.865711689,0.763092756,0.711457908,-0.072063953,0.81023699
