SATISFACCION_GLOBAL;VALORACION_COSTE_GLOBAL;VAL_CAL_GLOB;VAL_CAL_PREC;RECOMENDACION;NECESIDAD_CLIENTE;CAPACIDAD_RESOLUCION;PROCESO_ADQUISICION;SATISFACCION_PV;ACCESO_VENDEDOR_PV;DISPONIBILIDAD_PRODUCTOS_PV;ATENCION_PV;ASPECTO_PV;SOLUCION_PV;SAT_TELEFONO_PROPIO;SATISFACCION_GAMA;SAT_CALIDAD_COMUNICACION;COBERTURA_INTERIORES;COBERTURA_EXTERIORES;NITIDEZ;INTERRUPCIONES;INTENTOS_LLAMADA;TIEMPO_CONEXION;SATISFACCION_ROAMING;SATISFACCION_CC;FACILIDAD_ACCESO_CC;CALIDAD_INFORMACION_CC;AMABILIDAD_CC;RAPIDEZ_SOLUCION_CC;SATISFACCION_WEB;SAT_AREA_CLI;SATISFACCION_TIENDA_WEB;SAT_SERV_DAT;VAL_SERV_NAV;SATISFACCION_FACTURA;ACCESIBILIDAD_FACTURA;CLARIDAD_FACTURA;PUNTUALIDAD_FACTURA;ERROR_FACTURA;VALORACION_TARIFAS;VAL_TAR_PERS;VALORACION_PROMOCIONES;VALORACION_RENOVE;VALORACION_INFORMACION;IMAGEN;CONFIANZA_TRATO;FIDELIDAD_CODIGO;ESFUERZO;ANIO;Q;SEXO;operador_agr;EDAD
8;5;7;7;10;2;10;7;;;;;;;8;8;8;7;8;8;8;7;7;;7;5;7;7;6;;;;7;8;8;8;8;8;2;8;8;7;;8;8;8;7;;2013;2;Mujer     ;operador B       ;55
10;9;9;9;10;2;10;10;;;;;;;8;0;9;8;9;9;5;10;9;;;;;;;10;10;;;10;10;10;10;9;2;10;10;10;;8;10;9;9;;2013;2;Mujer     ;operador B       ;29
8;7;7;7;8;2;7;8;;;;;;;8;8;8;8;8;8;8;8;8;;7;6;7;8;8;8;7;;7;8;7;6;6;6;2;8;7;7;;7;7;8;9;;2013;2;Mujer     ;operador B       ;55
10;10;10;10;10;2;10;10;;;;;;;0;0;8;10;10;10;10;8;5;;;;;;;;;;;;10;10;10;10;2;10;10;10;;7;10;8;9;;2013;2;Hombre    ;operador B       ;30
8;7;7;8;9;2;9;8;;;;;;;7;6;9;8;10;9;9;8;8;;8;9;7;8;9;;;;;;;;;;;8;8;7;;8;7;8;9;;2013;2;Hombre    ;operador B       ;30
10;10;8;9;10;2;7;10;;;;;;;10;0;10;10;9;10;10;10;10;;;;;;;;;;10;10;;;;;;10;;10;;10;10;10;9;;2013;2;Mujer     ;operador B       ;32
8;9;7;8;8;1;6;6;;;;;;;8;0;7;6;8;7;7;8;7;6;7;7;7;7;7;6;6;;7;8;8;7;7;8;2;8;8;7;;7;6;8;9;;2013;2;Hombre    ;operador B       ;41
8;10;10;10;10;2;8;10;;;;;;;10;8;10;10;10;10;10;10;10;;;;;;;;;;;;;;;;;10;;8;;8;8;10;7;;2013;2;Hombre    ;operador B       ;35
8;8;8;8;8;2;8;9;;;;;;;9;9;9;9;9;9;9;9;9;;10;9;9;10;10;;;;;;;;;;;10;10;9;;9;9;9;7;;2013;2;Mujer     ;operador B       ;40
8;10;10;2;0;2;5;9;;;;;;;10;0;10;10;10;8;10;10;7;;8;10;4;10;4;;;;;;9;7;10;10;2;0;10;4;;10;8;10;7;;2013;2;Mujer     ;operador B       ;60
10;8;9;10;10;2;10;10;;;;;;;0;0;10;10;0;10;10;10;10;;;;;;;10;10;10;10;10;;;;;;10;;10;;10;10;10;7;;2013;2;Hombre    ;operador B       ;30
10;10;10;10;10;1;10;10;;;;;;;10;10;10;10;10;10;10;10;10;;10;10;10;10;10;;;;;;10;10;10;10;2;10;;10;;10;10;10;9;;2013;2;Mujer     ;operador B       ;60
8;9;9;8;9;1;10;9;;;;;;;9;0;10;10;10;10;10;9;9;8;10;9;9;10;9;8;9;;9;8;9;9;9;10;2;9;9;8;;8;8;10;9;;2013;2;Mujer     ;operador B       ;40
8;10;8;8;9;;7;8;;;;;;;8;0;7;9;9;9;8;7;8;;;;;;;;;;;;7;8;6;9;2;10;10;8;;7;5;9;9;;2012;4;Hombre    ;operador B       ;55
5;8;5;6;4;;6;6;;;;;;;7;0;4;7;6;7;7;6;6;;8;7;7;8;8;7;7;;;;8;8;9;9;2;9;9;7;;6;7;7;7;;2012;3;Hombre    ;operador B       ;44
5;10;8;10;10;;10;7;8;6;6;8;6;8;8;8;5;5;6;8;8;8;7;;8;7;7;8;7;5;;10;0;;10;10;10;10;2;10;10;8;;7;10;8;9;;2012;4;Hombre    ;operador B       ;54
8;8;8;6;7;;7;6;;;;;;;5;0;4;2;5;5;4;0;6;;2;0;3;9;4;;;;;;9;7;7;7;2;8;10;8;;4;;6;9;;2013;1;Hombre    ;operador B       ;51
9;10;10;10;9;1;10;9;10;8;10;10;10;10;7;0;10;10;10;10;10;10;9;;;;;;;10;10;9;;;10;10;10;10;2;10;9;9;;9;10;10;9;;2013;2;Hombre    ;operador B       ;43
8;8;8;9;10;;10;8;;;;;;;10;3;7;7;8;8;6;8;8;;8;8;8;8;8;8;8;8;;10;8;8;8;8;2;9;9;9;;8;8;8;9;;2013;1;Hombre    ;operador B       ;46
9;8;9;9;9;;8;9;;;;;;;9;0;9;8;8;9;7;9;9;5;9;8;9;9;9;;;;;;9;9;9;9;2;9;9;9;;8;9;9;9;;2012;4;Mujer     ;operador B       ;40
10;10;10;10;10;;8;10;;;;;;;8;5;10;10;10;10;10;10;10;10;;;;;;7;8;8;;6;10;10;10;10;2;10;10;9;;10;10;7;9;;2013;1;Hombre    ;operador B       ;36
9;9;3;9;9;;5;10;;;;;;;10;10;10;8;8;10;9;10;9;;10;8;10;10;0;;;;;10;10;10;10;9;2;10;7;5;;0;8;9;7;;2013;1;Hombre    ;operador B       ;56
9;10;9;9;10;;8;7;;;;;;;8;5;8;8;9;8;7;8;9;;7;5;8;9;6;7;;7;;9;6;9;7;7;2;10;10;9;;6;9;8;9;;2013;1;Hombre    ;operador B       ;34
8;8;7;6;8;;6;;;;;;;;5;0;8;7;7;7;7;7;7;;;;;;;;;;;;5;5;5;5;1;6;6;4;;4;6;5;7;;2012;3;Mujer     ;operador B       ;44
8;5;7;6;7;;8;8;7;7;8;7;8;7;8;8;7;6;7;8;5;9;5;;5;5;7;8;5;;;;;;8;7;7;7;2;4;5;5;;7;9;7;9;;2012;4;Hombre    ;operador B       ;57
10;8;8;8;10;2;7;10;;;;;;;10;0;9;9;10;9;9;9;9;;;;;;;7;7;;;;10;9;10;10;2;8;10;5;;8;9;9;9;;2013;2;Hombre    ;operador B       ;37
10;10;10;10;10;;10;10;;;;;;;0;0;10;10;10;10;10;10;10;;6;6;10;10;10;10;10;;;;10;10;10;10;2;10;10;6;;10;10;10;9;;2012;4;Hombre    ;operador B       ;50
9;10;8;9;10;;8;;;;;;;;9;0;7;9;6;10;7;10;9;;;;;;;;;;;;;;;;;10;;;;8;10;10;9;;2012;4;Mujer     ;operador B       ;58
10;10;10;10;10;;8;10;;;;;;;10;8;8;8;8;10;10;8;10;;;;;;;;;;10;8;5;8;6;2;2;10;10;;;5;10;7;9;;2013;1;Mujer     ;operador B       ;38
8;7;8;8;9;;7;5;;;;;;;7;3;8;7;7;8;8;9;9;;3;1;5;8;8;6;5;;8;8;9;9;10;10;1;5;9;5;;9;7;7;7;;2013;1;Hombre    ;operador B       ;46
9;;9;;9;;10;;;;;;;;10;0;10;10;10;10;10;10;10;;;;;;;;;;;;;;;;2;;;9;;10;10;10;9;;2013;1;Mujer     ;operador B       ;41
7;5;7;5;6;;6;7;;;;;;;8;7;7;7;7;7;7;7;6;;;;;;;8;;7;6;;8;8;8;8;2;7;7;6;;8;8;8;9;;2012;3;Hombre    ;operador B       ;57
5;5;7;10;10;2;7;8;;;;;;;3;0;7;10;10;8;0;10;8;;;;;;;;;;;;;;;;2;10;10;;;;5;5;7;;2013;2;Mujer     ;operador B       ;45
6;7;8;6;10;;10;10;;;;;;;10;10;10;10;10;10;10;10;10;;10;10;10;10;8;10;;;;;10;8;10;8;2;10;10;0;;10;10;10;9;;2012;4;Hombre    ;operador B       ;44
9;10;9;8;9;;;8;8;9;8;8;8;8;9;9;10;10;10;10;9;;9;;7;5;5;6;7;9;9;;;;8;8;10;8;2;9;10;10;;8;9;9;9;;2012;4;Hombre    ;operador B       ;39
10;10;10;7;10;;10;5;;;;;;;7;10;10;10;10;10;10;7;10;;10;10;10;10;10;10;10;;10;10;10;10;10;7;2;10;10;10;;10;10;10;9;;2013;1;Mujer     ;operador B       ;31
7;6;7;7;8;;7;8;;;;;;;6;0;8;6;8;8;8;8;8;;6;3;6;7;7;;;;;7;;;;;2;8;9;;;3;7;8;9;;2013;1;Hombre    ;operador B       ;42
7;5;5;7;8;;5;6;;;;;;;8;0;7;7;8;7;6;8;8;;4;2;3;5;1;5;5;;5;8;3;8;4;8;2;7;7;8;;6;8;8;9;;2013;1;Mujer     ;operador B       ;36
7;5;7;8;8;;3;6;;;;;;;10;0;7;5;8;4;5;8;9;;7;2;3;10;;;;;;8;4;2;1;10;2;10;9;3;;4;4;3;3;;2013;1;Mujer     ;operador B       ;36
8;10;10;10;10;2;10;10;;;;;;;10;10;10;8;10;10;10;10;8;;10;8;10;10;8;;;;;;;;;;;10;10;10;;10;10;10;9;;2013;2;Hombre    ;operador B       ;30
10;1;10;7;10;2;10;;;;;;;;10;10;8;9;10;6;5;8;2;;10;10;10;10;;;;;8;;;;;;;10;;3;;5;9;10;9;;2013;2;Hombre    ;operador B       ;30
9;6;8;9;10;2;6;8;;;;;;;8;8;9;9;9;9;8;9;9;10;;;;;;;;;;;;;;;;10;;9;;9;8;;7;;2013;2;Mujer     ;operador B       ;37
9;9;9;10;10;1;8;10;10;10;10;10;10;10;10;10;9;9;10;8;7;8;9;;10;10;10;10;10;;;;;10;;;;;;8;7;7;;7;8;8;9;;2013;2;Mujer     ;operador B       ;28
10;10;10;10;10;;10;10;;;;;;;10;0;10;10;10;10;10;10;10;;;;;;;;;;;;;;;;;10;;10;;10;10;10;7;;2012;4;Mujer     ;operador B       ;42
9;10;6;10;10;1;3;5;;;;;;;10;0;10;10;10;10;10;8;8;7;;;;;;;;;;;;;;;;10;;3;;3;8;4;7;;2013;2;Mujer     ;operador B       ;34
7;6;8;8;8;2;9;8;;;;;;;5;0;8;8;8;8;8;8;8;;;;;;;;;;;;;;;;;8;8;8;;8;8;8;7;;2013;2;Mujer     ;operador B       ;45
10;10;10;10;10;;10;10;;;;;;;10;0;10;10;10;10;10;10;10;;10;8;8;10;10;;;;;;;;;;;10;10;10;;10;10;10;7;;2013;1;Mujer     ;operador B       ;38
10;10;10;10;10;1;10;10;;;;;;;10;10;10;10;10;10;10;10;10;;;;;;;;;;10;10;;;;;;10;;10;;10;10;10;7;;2013;2;Hombre    ;operador B       ;36
7;7;8;7;6;;6;9;;;;;;;5;5;9;8;8;8;8;8;8;;7;7;8;8;8;8;;9;;;;;;;;8;;8;;8;8;8;7;;2012;4;Hombre    ;operador B       ;23
10;10;10;10;10;1;10;10;;;;;;;7;0;10;10;;9;10;10;10;;;;;;;;;;;10;;;;;;10;;10;;;10;10;9;;2013;2;Hombre    ;operador B       ;41
8;7;9;9;9;;10;10;;;;;;;10;0;6;7;8;8;5;8;8;;;;;;;;;;;;;;;;;8;;;;;8;7;7;;2012;3;Hombre    ;operador B       ;25
10;;10;10;10;;10;10;;;;;;;8;10;8;10;10;10;10;10;10;;10;8;10;10;10;;;;;;;;;;;10;8;5;;5;10;10;9;;2012;4;Mujer     ;operador B       ;34
8;6;7;7;8;;5;7;;;;;;;7;6;7;7;6;8;7;6;5;7;;;;;;;;;;;;;;;;8;7;6;;6;6;7;7;;2012;3;Mujer     ;operador B       ;30
10;10;0;10;10;;10;10;;;;;;;10;10;10;10;10;10;10;10;10;;10;10;10;10;;;;;;;;;;;;0;;10;;10;10;10;9;;2012;3;Mujer     ;operador B       ;49
7;8;7;8;10;;6;6;;;;;;;7;8;8;8;7;8;8;7;8;;;;;;;;;;;;;;;;;8;;8;;7;8;9;7;;2013;1;Hombre    ;operador B       ;29
10;10;10;10;10;;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;;;;;;10;;;10;;;;;;;10;10;10;;10;10;10;9;;2012;3;Mujer     ;operador B       ;52
10;10;10;10;10;;10;10;;;;;;;10;0;10;10;10;10;10;10;10;;10;10;10;10;10;;;;;;;;;;;10;10;10;;10;10;10;9;;2012;4;Hombre    ;operador B       ;48
10;10;10;10;10;1;7;5;;;;;;;6;5;8;8;8;7;7;9;9;;9;8;9;10;9;5;;;;;;;;;;10;10;5;;6;7;7;7;;2013;2;Hombre    ;operador B       ;32
9;9;9;10;10;1;8;8;8;9;9;8;9;9;8;8;8;9;9;8;8;9;8;;;;;;;;;;8;8;;;;;;9;9;8;;8;8;9;9;;2013;2;Mujer     ;operador B       ;28
8;7;9;8;10;;5;7;;;;;;;10;0;9;3;10;8;10;10;6;;9;2;4;7;4;;;;10;;;;;;;6;;5;;6;9;8;9;;2012;4;Hombre    ;operador B       ;22
9;8;10;8;10;;7;9;;;;;;;6;0;8;8;8;9;9;9;8;;8;7;8;9;;;;;;;;;;;;;;8;;6;9;7;7;;2013;1;Mujer     ;operador B       ;26
7;8;8;9;9;2;4;6;;;;;;;8;0;7;8;8;9;8;8;8;;;;;;;3;2;;;;;;;;;9;;3;;3;;7;7;;2013;2;Mujer     ;operador B       ;47
7;8;8;9;10;;6;7;;;;;;;8;7;6;6;8;8;5;7;7;;9;5;7;8;6;6;;;;;;;;;;9;8;8;;7;8;9;9;;2012;3;Mujer     ;operador B       ;38
6;6;8;8;10;;8;7;;;;;;;10;8;7;9;10;10;10;9;8;;9;10;10;10;10;;;;;;;;;;;8;8;8;;8;9;9;7;;2013;1;Hombre    ;operador B       ;51
10;10;10;9;10;;10;10;;;;;;;10;0;10;0;10;10;10;10;10;10;10;10;10;10;10;;;;;;;;;;;10;10;10;;10;10;10;9;;2013;1;Mujer     ;operador B       ;45
10;10;10;10;10;2;10;10;;;;;;;10;0;10;10;10;10;10;10;10;;10;8;10;10;10;;;;;10;7;7;10;7;2;10;;7;;5;10;10;9;;2013;2;Mujer     ;operador B       ;44
8;9;10;10;10;;10;10;;;;;;;10;10;10;10;10;10;10;10;10;;10;10;10;10;10;;;;;;;;;;;10;;10;;10;10;10;9;;2013;1;Mujer     ;operador B       ;29
10;9;10;8;10;;10;10;;;;;;;10;8;10;10;10;10;10;8;9;;10;10;10;10;10;;;;;;;;;;;9;;8;;8;9;9;9;;2012;3;Mujer     ;operador B       ;28
7;8;7;7;7;;7;7;6;7;7;7;5;7;7;7;8;7;7;8;8;8;8;6;;;;;;;;;;;;;;;;8;8;5;;6;6;7;9;;2013;1;Hombre    ;operador B       ;45
10;10;10;10;10;;10;10;;;;;;;10;0;10;10;10;10;10;10;;10;10;10;10;10;10;;;;10;;;;;;;10;10;10;;10;10;10;9;;2012;4;Mujer     ;operador B       ;23
9;8;10;7;5;;5;8;7;9;9;10;8;9;10;0;10;7;10;10;8;9;10;;5;8;5;8;;;;;;;;;;;;8;7;10;;8;9;8;9;;2013;1;Hombre    ;operador B       ;43
6;7;5;7;8;;5;6;6;7;7;6;7;7;8;8;8;8;7;8;8;8;8;;7;7;7;8;8;;;;8;;;;;;;8;8;7;;7;7;8;9;;2012;3;Mujer     ;operador B       ;49
10;10;10;9;10;;10;10;10;10;10;10;10;10;10;8;10;10;10;10;10;10;10;;;;;;;;;;;;;;;;;10;10;10;;10;10;10;7;;2013;1;Mujer     ;operador B       ;40
10;10;10;10;10;;10;10;;;;;;;10;10;10;10;10;10;10;10;10;;;;;;;;;;;;;;;;;10;;10;;10;10;10;9;;2012;4;Mujer     ;operador B       ;31
7;5;5;8;10;;7;8;;;;;;;7;0;5;5;5;9;5;5;8;;;;;;;;;;;;;;;;;10;10;8;;5;6;7;9;;2012;4;Hombre    ;operador B       ;60
10;9;10;10;10;;8;9;;;;;;;10;9;10;9;9;9;9;8;9;;9;9;8;9;9;;;;;;;;;;;10;;9;;9;9;10;9;;2013;1;Hombre    ;operador B       ;44
10;10;10;10;10;1;10;10;;;;;;;10;10;10;5;10;10;10;10;10;10;;;;;;;;;10;;;;;;;10;10;10;;10;10;10;7;;2013;2;Mujer     ;operador B       ;38
10;8;10;9;8;2;9;9;10;8;10;9;9;10;10;8;10;9;9;8;9;9;9;;9;10;10;10;9;;;;10;10;;;;;;10;10;10;;10;10;10;9;;2013;2;Mujer     ;operador B       ;41
10;8;10;8;10;;10;10;;;;;;;5;0;9;10;8;8;8;9;8;;10;9;10;10;10;9;;;;;;;;;;8;;;;;9;10;9;;2013;1;Hombre    ;operador B       ;47
8;9;10;8;7;2;7;7;;;;;;;10;0;4;8;8;8;8;10;8;;7;0;7;0;;7;;;;9;;;;;;9;10;10;;9;7;8;7;;2013;2;Mujer     ;operador B       ;30
7;7;8;5;9;2;8;9;;;;;;;4;0;9;6;9;7;5;5;8;;;;;;;;;;;;;;;;;;;9;;8;8;9;7;;2013;2;Mujer     ;operador B       ;35
9;9;10;7;10;;10;10;8;10;8;10;10;10;10;0;8;10;10;7;7;7;8;10;;;;;;;;;8;;;;;;;10;8;10;;10;8;8;9;;2012;3;Hombre    ;operador B       ;35
9;9;9;9;10;;9;9;;;;;;;9;0;9;8;10;10;9;9;9;;;;;;;;;;;;;;;;;9;10;10;;9;9;9;9;;2012;3;Mujer     ;operador B       ;32
8;8;7;8;7;;7;7;;;;;;;7;8;8;5;7;8;8;7;8;;;;;;;;;;;;;;;;;8;8;7;;5;7;8;9;;2013;1;Hombre    ;operador B       ;45
8;8;8;6;9;2;5;6;;;;;;;8;8;9;9;10;9;9;5;9;9;;;;;;;;;;;;;;;;10;;10;;9;10;9;9;;2013;2;Hombre    ;operador B       ;50
10;10;10;10;10;;10;10;;;;;;;10;0;10;9;10;10;10;10;9;;;;;;;;;;;;;;;;;10;;10;;10;10;10;9;;2012;4;Mujer     ;operador B       ;47
9;8;7;8;8;;8;8;8;8;7;8;8;7;10;0;10;8;8;8;8;8;7;;9;10;10;10;10;;;;;;;;;;;10;;10;;8;8;10;9;;2013;1;Hombre    ;operador B       ;58
6;6;7;6;6;;7;8;;;;;;;6;5;6;6;7;7;7;7;7;;;;;;;;;;;;;;;;;6;7;6;;6;5;5;3;;2012;4;Hombre    ;operador B       ;37
7;7;6;7;5;;5;5;8;2;;8;8;9;1;4;6;4;8;10;7;1;4;;8;6;9;10;9;;;;;;;;;;2;7;7;1;;;6;7;7;;2012;4;Hombre    ;operador B       ;20
3;3;3;6;3;;0;7;;;;;;;10;0;0;0;0;0;0;6;7;;2;3;2;7;;;;;;;;;;;;10;;1;;0;2;3;3;;2012;4;Mujer     ;operador B       ;57
10;5;10;10;10;;10;9;;;;;;;6;0;8;8;9;8;8;9;8;;9;9;8;9;8;;;;;;;;;;;10;;9;;8;7;9;7;;2012;3;Mujer     ;operador B       ;25
7;8;8;9;10;;10;8;;;;;;;5;8;9;10;8;10;10;10;8;;;;;;;;;;8;;;;;;;9;;8;;8;8;7;7;;2012;4;Hombre    ;operador B       ;48
9;9;9;10;10;;10;10;;;;;;;10;0;10;8;10;10;10;8;10;;10;10;10;10;10;;;;7;;;;;;;10;10;10;;10;10;10;9;;2013;1;Mujer     ;operador B       ;24
5;5;3;4;3;;8;8;;;;;;;10;0;4;3;6;8;5;8;8;;;;;;;;;;;;;;;;;;;;;;8;8;3;;2013;1;Mujer     ;operador B       ;38
10;10;10;10;10;;10;10;10;9;10;10;10;10;8;10;8;10;10;10;10;10;10;;;;;;;10;;;10;10;10;8;10;10;2;10;10;10;;10;10;10;9;;2013;1;Hombre    ;operador B       ;61
9;9;9;7;10;;9;9;;;;;;;8;8;8;7;8;9;8;7;8;;8;8;9;10;8;;;;;;9;8;9;8;2;8;8;8;;8;9;9;9;;2012;3;Mujer     ;operador B       ;48
8;7;7;6;8;;8;8;;;;;;;9;5;9;9;9;9;9;9;9;7;8;7;8;9;9;;;;;;8;11;9;9;2;8;8;2;;3;6;7;9;;2012;4;Mujer     ;operador B       ;32
8;7;8;7;9;;6;10;;;;;;;7;8;5;8;6;7;6;5;7;;9;10;9;9;9;8;;7;;;;;;;2;7;9;7;;;8;8;9;;2012;4;Hombre    ;operador B       ;36
9;10;10;10;9;;8;8;;;;;;;7;4;8;7;9;8;8;8;8;;;;;;;9;8;7;6;;9;9;8;9;2;10;10;10;;8;9;9;9;;2012;3;Mujer     ;operador B       ;31
9;9;8;9;10;;9;9;;;;;;;7;9;9;10;10;9;10;9;9;;;;;;;9;9;;8;8;;;;;;9;10;7;;8;9;9;9;;2013;1;Hombre    ;operador B       ;24
9;8;8;9;10;;9;9;;;;;;;7;0;9;9;9;9;9;9;9;;8;8;9;10;9;10;9;;;;9;10;10;10;2;10;10;9;;10;9;9;9;;2012;3;Hombre    ;operador B       ;31
6;4;8;6;4;;5;5;3;6;6;5;8;8;6;7;4;5;7;4;6;6;5;;;;;;;;;;6;;5;6;5;4;2;6;5;6;;6;5;6;9;;2012;4;Mujer     ;operador B       ;68
8;8;8;7;8;2;8;7;9;9;8;8;9;8;6;6;7;7;7;8;7;5;5;;;;;;;7;7;7;8;8;7;8;8;9;2;8;8;7;;7;8;8;9;;2013;2;Hombre    ;operador B       ;42
10;10;10;10;10;;10;8;;;;;;;8;8;10;8;10;10;10;8;10;;10;8;10;10;10;10;;;;;10;10;10;10;2;10;10;;;10;8;10;7;;2012;4;Hombre    ;operador B       ;39
7;7;9;7;8;;8;8;;;;;;;6;0;7;8;8;8;9;5;6;0;10;8;10;10;6;;;;;;6;6;8;8;2;7;7;;;6;7;9;7;;2012;4;Hombre    ;operador B       ;62
7;8;8;8;10;;9;8;;;;;;;9;0;8;7;8;10;7;8;9;9;9;6;8;10;9;8;8;;;7;9;10;7;9;1;9;9;5;;9;8;9;7;;2013;1;Hombre    ;operador B       ;34
9;6;9;6;9;;10;9;;;;;;;9;5;9;9;9;9;9;9;7;;;;;;;;;;;;7;8;9;8;2;7;7;7;;8;9;9;9;;2012;3;Hombre    ;operador B       ;39
5;6;7;7;6;;8;4;4;5;4;4;7;3;8;4;8;7;7;7;7;7;8;;8;4;7;8;7;;;;;;3;4;3;8;2;6;8;5;;6;7;5;3;;2012;4;Hombre    ;operador B       ;53
5;10;7;9;7;1;6;10;7;10;6;10;10;6;10;8;10;10;10;10;10;10;9;;5;10;3;6;;7;8;;8;8;6;6;8;5;2;10;10;6;;8;8;6;9;;2013;2;Hombre    ;operador B       ;51
5;7;7;7;;;4;5;;;;;;;7;5;7;7;7;7;7;7;7;;6;4;5;7;5;7;7;;;;8;7;7;7;2;8;8;6;;5;5;5;9;;2012;3;Hombre    ;operador B       ;48
5;5;5;2;5;2;5;5;5;2;2;10;9;2;0;5;5;5;5;5;5;5;5;;0;0;0;0;;;;;;;0;5;0;8;2;2;2;;;2;2;0;3;;2013;2;Hombre    ;operador B       ;57
9;9;9;9;10;1;10;9;;;;;;;7;8;9;9;9;9;9;9;9;;9;9;10;10;9;10;8;8;;9;8;10;10;10;2;10;10;10;;9;10;9;7;;2013;2;Mujer     ;operador B       ;38
10;9;9;9;9;;10;9;;;;;;;8;6;9;9;9;9;9;;8;;;;;;;8;;;;;9;9;9;9;2;10;10;9;;9;9;10;9;;2012;3;Mujer     ;operador B       ;38
8;7;8;7;10;;10;8;8;8;7;8;9;8;9;9;8;7;7;8;8;7;7;;;;;;;;;;;;8;8;8;9;2;7;7;6;;7;7;8;7;;2012;4;Mujer     ;operador B       ;31
8;7;9;8;7;;8;10;10;10;10;10;10;10;9;8;9;10;8;10;10;;;;8;8;10;10;10;;;;;;;;;;;7;;10;;10;8;9;1;;2012;3;Mujer     ;operador B       ;55
7;5;5;5;5;;7;5;;;;;;;5;4;5;6;6;6;6;6;6;;8;8;8;8;8;;;;;;8;7;7;7;2;5;;0;;0;5;5;7;;2013;1;Hombre    ;operador B       ;56
9;9;10;9;9;1;8;9;;;;;;;9;8;10;9;10;9;9;9;9;;;;;;;;;;;;8;9;9;9;2;10;;8;;9;9;9;7;;2013;2;Hombre    ;operador B       ;49
9;8;9;10;9;;9;8;;;;;;;6;3;9;9;9;8;3;9;9;;8;8;8;9;8;8;8;7;;;8;8;8;9;2;8;8;7;;8;9;8;9;;2012;4;Mujer     ;operador B       ;45
5;7;4;5;3;;5;7;;;;;;;3;6;3;4;6;7;3;5;6;;5;3;6;7;6;;;;;;7;6;6;6;2;5;4;2;;5;5;5;3;;2012;4;Hombre    ;operador B       ;52
8;3;6;6;7;2;8;5;10;5;9;10;10;10;6;9;3;0;0;5;4;8;8;;8;8;8;8;8;;;;5;8;6;6;6;8;2;4;;0;;5;6;6;1;;2013;2;Mujer     ;operador B       ;42
8;9;6;8;7;;6;7;;;;;;;6;0;9;9;9;9;9;9;8;;5;3;7;8;6;9;;;;;9;9;9;7;2;9;9;4;;6;7;6;9;;2012;3;Hombre    ;operador B       ;47
7;8;6;7;8;;9;8;5;8;7;9;9;6;6;7;8;8;8;8;8;8;8;;8;6;8;9;9;6;;;;;5;4;11;11;2;8;8;8;;8;8;8;9;;2012;4;Hombre    ;operador B       ;46
8;10;9;9;10;;10;9;;;;;;;8;0;8;7;10;8;7;9;7;;;;;;;8;9;;8;;9;9;9;7;2;10;10;8;;8;9;9;7;;2012;3;Hombre    ;operador B       ;27
10;10;10;10;10;;10;10;;;;;;;10;10;10;10;10;10;10;10;10;;;;;;;;;;;10;10;10;10;10;2;10;10;10;;10;10;10;9;;2013;1;Mujer     ;operador B       ;53
6;5;8;8;10;;8;9;10;7;8;10;10;9;6;0;8;8;9;8;9;10;5;9;4;1;8;8;8;6;5;;;;9;9;9;9;2;7;7;5;;8;7;8;7;;2012;4;Mujer     ;operador B       ;56
9;8;9;9;8;;10;9;;;;;;;8;8;8;9;9;9;9;9;8;;10;9;9;10;10;;;;;;9;8;10;9;2;9;9;8;;;10;9;9;;2012;3;Hombre    ;operador B       ;68
10;10;10;10;10;;10;10;;;;;;;10;0;10;10;10;10;10;10;8;10;9;9;10;10;10;10;10;;;;10;10;10;10;2;8;8;;;9;10;10;9;;2012;3;Hombre    ;operador B       ;50
9;9;10;10;10;;9;8;;;;;;;9;10;10;8;10;9;9;9;9;;10;7;10;10;10;9;8;;;;9;8;9;9;2;9;9;9;;9;9;10;9;;2012;4;Mujer     ;operador B       ;21
8;6;6;7;6;;2;5;;;;;;;5;0;5;3;8;7;5;5;4;;5;6;5;9;5;7;5;;;;7;7;7;7;2;6;8;6;;2;4;4;7;;2012;4;Hombre    ;operador B       ;37
10;10;10;10;10;;10;10;9;8;9;9;10;10;10;10;10;10;10;10;10;10;9;;10;10;10;10;10;8;;;8;;9;10;9;10;1;10;10;10;;10;10;10;9;;2012;4;Mujer     ;operador B       ;53
9;8;8;9;10;;8;7;;;;;;;8;6;8;8;9;9;9;9;9;;;;;;;;;;9;;9;8;9;9;2;8;9;8;;7;9;8;9;;2012;4;Hombre    ;operador B       ;40
9;8;8;7;8;;8;7;;;;;;;8;0;9;9;9;9;9;8;;;8;7;8;8;;;;;8;9;9;5;6;7;1;8;7;8;;7;7;7;7;;2013;1;Mujer     ;operador B       ;69
10;9;9;10;10;;10;10;;;;;;;10;10;8;9;10;10;9;10;10;;;;;;;;;;;;10;10;10;10;2;10;10;10;;10;10;10;7;;2012;4;Mujer     ;operador B       ;59
8;8;8;8;8;;8;9;;;;;;;4;0;5;7;7;7;8;7;6;7;7;8;8;9;8;9;9;7;;;8;8;7;7;2;7;7;6;;8;8;8;9;;2012;3;Hombre    ;operador B       ;54
