SATISFACCION_GLOBAL;VALORACION_COSTE_GLOBAL;VAL_CAL_GLOB;VAL_CAL_PREC;RECOMENDACION;NECESIDAD_CLIENTE;CAPACIDAD_RESOLUCION;PROCESO_ADQUISICION;SATISFACCION_PV;ACCESO_VENDEDOR_PV;DISPONIBILIDAD_PRODUCTOS_PV;ATENCION_PV;ASPECTO_PV;SOLUCION_PV;SAT_TELEFONO_PROPIO;SATISFACCION_GAMA;SAT_CALIDAD_COMUNICACION;COBERTURA_INTERIORES;COBERTURA_EXTERIORES;NITIDEZ;INTERRUPCIONES;INTENTOS_LLAMADA;TIEMPO_CONEXION;SATISFACCION_ROAMING;SATISFACCION_CC;FACILIDAD_ACCESO_CC;CALIDAD_INFORMACION_CC;AMABILIDAD_CC;RAPIDEZ_SOLUCION_CC;SATISFACCION_WEB;SAT_AREA_CLI;SATISFACCION_TIENDA_WEB;SAT_SERV_DAT;VAL_SERV_NAV;SATISFACCION_FACTURA;ACCESIBILIDAD_FACTURA;CLARIDAD_FACTURA;PUNTUALIDAD_FACTURA;ERROR_FACTURA;VALORACION_TARIFAS;VAL_TAR_PERS;VALORACION_PROMOCIONES;VALORACION_RENOVE;VALORACION_INFORMACION;IMAGEN;CONFIANZA_TRATO;FIDELIDAD_CODIGO;ESFUERZO;ANIO;Q;SEXO;operador_agr;EDAD
7;7;8;8;7;;9;;6;4;5;5;6;4;7;8;9;8;9;9;9;7;7;;8;6;7;8;8;;;;;;8;8;8;9;2;7;8;8;;8;9;8;9;;2012;3;Mujer     ;operador A  ;42
4;3;6;4;6;;6;7;8;7;6;7;10;8;9;7;9;9;9;9;9;9;8;;1;0;2;7;0;;;;;;4;6;4;6;1;4;4;3;4;4;6;5;9;;2012;3;Mujer     ;operador A  ;34
8;9;9;10;9;;10;9;8;7;9;9;9;9;8;10;9;9;9;9;9;9;8;;10;9;10;10;10;;;;9;9;9;9;9;9;2;8;9;7;9;9;10;9;9;;2012;4;Hombre    ;operador A  ;61
7;5;5;5;6;;5;6;;;;;;;6;3;6;6;6;5;6;5;5;7;5;5;3;5;3;;;;;;5;5;5;3;2;5;5;0;;4;5;5;7;;2012;3;Mujer     ;operador A  ;45
7;6;8;6;9;;9;8;9;4;8;7;10;8;10;10;8;9;9;9;9;6;7;;7;3;5;8;6;5;;7;7;8;8;7;8;7;2;9;;6;5;8;7;7;9;;2012;4;Mujer     ;operador A  ;25
6;5;6;6;5;;4;6;5;3;6;7;7;6;7;0;7;7;7;7;7;7;7;6;5;4;5;6;5;;;;5;6;5;5;5;7;2;5;5;;6;5;7;6;5;;2012;3;Hombre    ;operador A  ;38
8;7;10;8;7;;0;10;8;6;5;10;10;7;9;7;8;8;8;10;10;9;9;;0;6;0;8;;;;;8;7;0;7;10;10;1;5;;0;;8;5;5;3;;2012;4;Hombre    ;operador A  ;29
7;8;9;8;10;;7;8;8;8;7;8;10;8;10;9;9;8;8;10;10;10;10;9;7;3;5;6;2;;;;;;9;9;9;10;2;7;8;10;7;7;8;8;9;;2012;4;Hombre    ;operador A  ;28
5;1;6;4;3;;4;6;7;7;3;6;8;6;6;7;7;7;8;7;6;8;7;;3;1;4;4;;;;;6;7;5;5;7;6;1;2;6;4;5;5;5;4;3;;2012;3;Hombre    ;operador A  ;30
7;4;8;5;7;;6;6;9;8;7;9;9;8;3;7;9;7;10;9;7;7;7;;3;8;3;8;;;;;;;5;3;6;7;1;1;1;3;;6;5;7;7;;2012;4;Hombre    ;operador A  ;28
10;9;10;8;10;;10;10;10;10;10;10;10;10;9;10;8;7;10;10;6;9;10;;10;9;10;10;10;;;;9;10;10;8;10;9;1;8;8;10;10;8;10;10;9;;2012;4;Mujer     ;operador A  ;44
9;8;9;7;10;;10;10;;;;;;;5;8;10;10;10;10;10;10;8;;10;10;10;10;8;;;;;;9;9;8;8;2;8;6;0;;0;5;4;9;;2012;4;Mujer     ;operador A  ;41
8;7;8;7;10;;10;4;7;8;9;8;7;8;9;9;8;6;9;8;9;9;7;9;8;6;8;6;7;;;;7;8;7;7;8;8;2;6;7;7;;7;7;7;3;;2012;3;Hombre    ;operador A  ;38
6;6;6;4;8;;4;8;9;6;7;7;8;8;8;7;8;8;8;8;7;8;5;8;6;2;1;5;;6;;;6;4;7;6;8;10;2;5;;4;7;3;7;5;9;;2012;3;Mujer     ;operador A  ;67
8;7;7;7;;;7;8;8;8;8;8;8;8;8;0;8;8;8;7;7;8;;;0;5;5;5;;0;;;;;8;7;7;7;1;6;;5;5;7;7;7;7;;2012;3;Mujer     ;operador A  ;58
7;8;8;7;7;;8;8;8;6;7;8;8;7;8;7;8;8;8;8;8;8;8;;;;;;;;;;;;9;9;9;8;2;8;7;5;;5;7;8;9;;2012;3;Mujer     ;operador A  ;52
7;8;8;7;6;;8;7;8;8;7;9;9;9;8;7;9;7;9;9;9;9;9;;8;7;8;9;8;7;8;9;7;9;8;8;8;9;1;7;10;8;8;7;8;8;9;;2012;3;Hombre    ;operador A  ;18
7;8;8;7;8;;6;8;9;9;9;9;9;9;8;10;10;10;10;9;9;10;9;;10;8;10;9;10;;;;;;9;9;9;9;2;8;8;8;10;10;10;10;9;;2012;3;Hombre    ;operador A  ;61
9;8;10;9;10;;7;9;;;;;;;7;9;7;7;6;6;7;8;8;;;;;;;;;;;;7;8;7;10;2;7;8;7;;7;8;7;9;;2012;4;Mujer     ;operador A  ;62
5;5;5;5;5;;5;5;7;5;5;5;5;5;7;6;5;5;5;5;5;7;6;;5;4;5;5;;;;;;;5;5;5;11;2;5;5;;;;5;5;7;;2012;4;Hombre    ;operador A  ;40
5;2;5;4;0;;4;7;4;7;3;3;5;5;7;10;10;10;10;10;10;10;7;;10;10;10;10;8;5;;;;;10;10;10;10;2;0;0;0;0;6;7;5;1;;2012;4;Hombre    ;operador A  ;22
8;7;7;7;10;;10;5;3;8;10;10;10;10;7;10;9;8;9;9;8;10;9;10;8;8;8;8;;10;10;10;10;10;10;9;10;8;2;8;8;5;5;10;9;9;7;;2012;3;Hombre    ;operador A  ;44
7;7;7;8;5;;5;8;5;5;5;5;5;5;8;5;6;5;8;8;5;6;7;0;0;0;7;6;;;;;;;7;7;7;7;1;6;7;7;;7;7;7;1;;2012;3;Hombre    ;operador A  ;38
8;8;7;7;7;;6;8;7;6;8;7;8;7;7;8;7;8;8;7;6;8;8;;;;;;;6;7;;5;;6;6;6;5;2;7;7;6;8;5;6;6;7;;2012;3;Mujer     ;operador A  ;29
7;6;8;7;7;;7;8;8;8;6;8;10;9;8;7;9;9;8;8;9;10;9;;7;6;7;9;7;;;;;;9;9;9;9;2;7;7;6;6;7;8;8;7;;2012;4;Hombre    ;operador A  ;23
7;6;7;3;6;;7;6;7;8;9;8;8;9;8;6;8;9;9;9;8;9;7;7;5;4;7;7;7;;;;;7;9;8;9;8;2;5;6;5;;6;8;7;7;;2012;4;Mujer     ;operador A  ;34
7;7;8;6;5;;6;7;3;3;5;3;10;5;9;8;9;8;10;9;10;9;9;9;7;3;5;10;8;;;;;;7;7;7;7;2;6;6;6;;6;7;8;9;;2012;4;Mujer     ;operador A  ;47
4;4;4;4;0;;1;8;6;7;10;10;8;10;10;8;8;8;8;10;10;9;10;;10;10;7;10;8;;;;;;10;10;10;10;1;8;9;0;;5;8;10;7;;2012;3;Mujer     ;operador A  ;23
7;2;9;5;7;;10;7;7;3;9;9;10;9;7;10;10;9;10;10;10;10;10;10;8;8;8;10;10;;;;5;10;8;10;9;10;1;5;4;5;;8;10;8;9;;2012;4;Mujer     ;operador A  ;32
8;7;8;8;10;2;10;10;10;8;9;10;10;10;10;10;9;9;9;10;10;9;10;;10;10;10;10;10;;;;;10;9;10;8;10;2;9;10;10;9;10;10;10;9;;2013;2;Mujer     ;operador A  ;40
5;8;8;8;10;;8;5;5;1;8;5;10;8;10;10;10;10;10;10;10;10;10;8;5;10;7;10;8;;;;;;10;8;8;10;1;5;8;5;5;7;8;8;9;;2012;4;Mujer     ;operador A  ;40
7;5;6;5;7;;6;8;7;5;8;7;7;7;;7;9;9;6;9;8;8;7;6;;;;;;8;5;;;10;5;7;9;9;2;6;7;8;;6;7;6;9;;2012;4;Hombre    ;operador A  ;27
5;5;4;4;3;;5;5;6;6;6;7;6;5;9;9;8;7;9;9;8;8;5;;4;3;4;4;6;;;;5;7;8;8;8;8;2;5;7;4;3;4;7;6;1;;2012;3;Hombre    ;operador A  ;42
6;4;5;2;0;;5;5;8;4;6;8;8;6;8;0;6;8;8;6;8;8;8;2;;;;;;;;;8;;7;7;7;8;2;2;;2;2;2;4;7;3;;2012;4;Hombre    ;operador A  ;68
6;6;8;8;8;2;9;10;8;8;9;8;10;10;9;9;10;9;8;8;8;9;9;;8;9;9;10;9;;;;10;10;10;10;10;10;2;10;;8;;8;9;9;9;;2013;2;Mujer     ;operador A  ;41
6;6;6;4;4;;5;6;8;8;8;9;8;8;2;0;5;5;7;7;7;6;6;7;2;2;4;4;;;;;6;6;7;7;7;7;2;5;;5;6;6;6;6;9;;2012;3;Mujer     ;operador A  ;48
8;6;8;5;6;;8;8;6;8;6;8;8;6;5;3;8;8;8;6;6;8;7;;7;4;7;8;3;;;;;;6;5;5;8;2;5;6;4;8;5;6;6;9;;2012;4;Hombre    ;operador A  ;68
8;7;8;7;6;;9;8;9;8;9;10;10;9;9;8;9;10;10;9;9;8;9;;7;7;7;8;7;;;;8;;8;7;8;10;2;6;;8;;8;10;9;9;;2012;3;Mujer     ;operador A  ;50
8;6;7;6;6;;7;7;8;7;8;8;9;8;9;9;9;9;9;8;8;9;9;;8;7;8;10;8;8;8;;8;8;9;9;9;9;2;7;8;7;6;8;9;8;9;;2012;4;Hombre    ;operador A  ;32
8;7;8;8;7;;9;9;8;8;8;8;7;8;7;9;9;8;9;9;9;8;8;;9;7;7;8;8;7;8;7;7;7;7;12;7;8;2;7;7;7;7;7;8;8;9;;2012;4;Hombre    ;operador A  ;67
8;7;9;7;8;;9;10;8;6;9;8;9;8;10;10;10;10;10;9;9;8;9;;10;9;9;9;10;8;8;;;;9;9;9;10;2;8;8;8;8;7;8;8;9;;2012;3;Mujer     ;operador A  ;46
8;7;8;7;8;2;4;8;8;7;8;8;9;8;9;10;8;8;9;7;9;7;7;;;;;;;;;;;;8;8;7;8;2;8;9;9;8;8;10;6;9;;2013;2;Mujer     ;operador A  ;46
6;7;5;6;6;;6;;7;7;8;7;8;8;7;8;8;7;8;8;8;8;8;8;4;5;3;4;4;7;7;;;8;7;7;7;8;2;6;7;;;4;7;5;7;;2012;3;Hombre    ;operador A  ;49
5;5;8;7;7;;6;8;7;8;6;8;8;8;8;8;6;5;8;8;9;9;8;;;;;;;;;;8;6;8;8;8;9;2;7;;6;6;7;8;7;9;;2012;4;Mujer     ;operador A  ;66
8;5;8;8;10;;10;8;10;10;10;10;10;10;7;5;10;10;10;10;10;10;10;;5;2;5;10;0;10;8;;8;5;5;5;8;0;2;5;5;3;2;0;8;5;7;;2012;3;Hombre    ;operador A  ;45
5;8;7;7;4;;4;8;4;7;8;7;9;7;2;0;8;8;8;8;8;8;8;;5;6;5;5;;6;;;7;;8;8;8;8;2;8;8;3;;4;6;5;1;;2012;4;Mujer     ;operador A  ;32
7;7;10;6;5;;6;7;8;7;5;8;10;7;7;8;8;7;8;9;8;8;8;;7;3;6;7;6;;;;8;7;8;7;8;7;2;9;8;5;;6;7;7;9;;2012;4;Mujer     ;operador A  ;42
7;6;6;5;6;;3;5;10;6;5;9;9;5;10;3;7;9;9;8;7;9;10;;0;2;4;0;;;;;7;8;6;7;7;6;1;7;8;5;;3;6;6;5;;2012;4;Hombre    ;operador A  ;33
5;3;0;4;4;;2;5;;;;;;;7;6;8;7;8;10;10;8;10;;;;;;;;;;;10;5;7;10;8;2;4;;3;;2;3;4;3;;2013;1;Hombre    ;operador A  ;25
8;6;8;7;7;;9;7;;;;;;;5;0;9;8;9;8;8;7;8;;;;;;;8;8;;;8;8;9;9;9;2;7;8;;;8;9;8;7;;2013;1;Hombre    ;operador A  ;50
8;9;9;8;10;;8;9;8;9;8;9;10;9;10;10;9;10;10;10;9;9;9;;9;8;9;8;8;;;;;;9;8;8;10;1;8;9;9;9;8;8;8;7;;2013;1;Hombre    ;operador A  ;52
5;5;0;4;2;;6;5;0;8;4;4;8;5;4;8;5;10;10;8;8;5;6;;;;;;;;;;5;5;7;5;7;7;2;5;;0;;5;5;5;1;;2013;1;Mujer     ;operador A  ;17
8;7;9;7;8;;6;9;8;7;7;10;10;10;8;0;7;8;4;8;7;8;8;;;;;;;;;;;;8;7;8;7;2;7;8;;;6;8;8;9;;2013;1;Hombre    ;operador A  ;62
6;8;6;5;7;2;6;8;6;9;5;8;8;6;4;6;8;5;8;8;6;6;5;;5;5;6;7;4;8;8;6;;;6;6;6;7;2;7;7;5;5;5;8;6;7;;2013;2;Hombre    ;operador A  ;41
7;8;7;7;9;2;8;9;;;;;;;8;8;8;6;9;9;9;8;9;8;;;;;;6;5;;7;8;6;6;8;8;2;8;;8;;7;7;7;9;;2013;2;Mujer     ;operador A  ;31
5;0;3;0;3;;7;7;10;5;10;10;10;10;10;0;10;10;8;10;10;10;7;;0;0;3;2;2;;;;;6;7;5;6;7;1;0;5;7;;7;10;10;9;;2013;1;Mujer     ;operador A  ;50
5;2;5;4;5;1;3;5;5;5;5;5;7;5;7;7;7;7;7;7;7;7;7;;2;2;2;5;2;;;;5;;5;5;5;5;2;2;2;2;;2;5;3;9;;2013;2;Mujer     ;operador A  ;47
7;7;8;6;7;1;8;8;;;;;;;3;7;8;7;9;7;9;8;9;;;;;;;;;;7;7;8;7;7;7;2;8;8;6;;4;7;7;9;;2013;2;Hombre    ;operador A  ;50
8;8;10;5;10;;7;9;10;5;9;8;10;2;5;7;9;6;9;7;8;4;7;;10;8;10;10;9;8;7;;;8;7;7;9;5;1;3;9;9;9;7;9;8;3;;2013;1;Hombre    ;operador A  ;55
6;5;5;5;6;;4;7;4;4;6;6;8;5;7;5;6;6;6;5;6;7;7;5;5;3;5;6;5;4;4;;;6;6;4;4;5;2;5;4;4;;5;4;5;7;;2013;1;Mujer     ;operador A  ;54
5;5;6;6;5;;5;6;;;;;;;6;0;5;6;6;6;5;6;6;;5;5;6;6;6;;;;5;;5;5;5;5;2;5;5;5;;6;5;5;9;;2013;1;Mujer     ;operador A  ;43
8;8;10;8;10;;10;10;10;5;10;10;10;10;10;10;10;10;10;10;10;8;10;10;10;7;9;10;9;8;10;;10;10;10;10;10;10;1;6;10;7;10;10;10;8;9;;2013;1;Mujer     ;operador A  ;44
5;9;8;6;10;;9;7;6;6;5;8;6;10;6;6;6;8;9;9;8;8;7;9;;;;;;;;;7;;7;6;7;9;2;8;7;6;;8;7;4;9;;2013;1;Hombre    ;operador A  ;66
7;7;7;7;;6;7;7;9;10;9;10;9;10;7;7;7;5;6;7;6;8;9;6;;;;;;;;;;9;8;;;;;7;8;9;9;9;9;9;9;10;2012;1;Mujer     ;operador A  ;54
7;5;9;6;7;1;8;8;9;9;8;9;10;9;9;9;8;8;9;9;8;8;8;;7;8;9;9;7;7;9;;9;8;7;8;8;8;2;5;7;5;;5;7;7;9;;2013;2;Hombre    ;operador A  ;31
8;8;8;7;7;6;8;8;9;9;9;9;10;9;8;7;9;9;9;9;8;8;8;;;;;;;8;7;7;;;9;;;;;7;7;8;;8;9;9;9;7;2012;1;Hombre    ;operador A  ;47
