"LUGAR";"MES";"ANIO";"HORA";"HORA_C";"IMP_BOL";"PUNTOS";"DENUNCIANTE";"CALIFICACION";"CAT";"HECHO.BOL";"VEL_LIMITE";"VEL_CIRCULA";"lat";"lon"
"NUESTRA SEÑORA DE VALVERDE 15, MADRID, SPAIN";11;2015;10;10;90;0;"POLICIA MUNICIPAL";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4921863;-3.6868579
"EMBAJADORES 66, MADRID, SPAIN";7;2015;15.28;15;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4072396;-3.7039521
"MENENDEZ PIDAL 26, MADRID, SPAIN";4;2015;18.39;18;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4626901;-3.681202
"M-30 FT K 04,150 CR4, MADRID, SPAIN";4;2015;19.29;19;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;83;40.4167754;-3.7037902
"M-30 NC K 14,740 CR1, MADRID, SPAIN";12;2015;17.2;17;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;80;40.4167754;-3.7037902
"OLIVAR 1, MADRID, SPAIN";5;2015;17.03;17;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4121602;-3.7015598
"CORAZON MARIA 8, MADRID, SPAIN";10;2015;19.09;19;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4403311;-3.6709015
"ALCALA 13, MADRID, SPAIN";9;2015;20.17;20;90;0;"POLICIA MUNICIPAL";"LEVE";"OTROS";"CIRCULAR POR UN CARRIL DE CIRCULACIÓN RESERVADA.";NA;NA;40.4179746;-3.7008183
"INDULGENCIA-VIRGEN NOVENA, MADRID, SPAIN";3;2015;16.28;16;200;0;"POLICIA MUNICIPAL";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN CARRIL DE CIRCULACION.";NA;NA;40.4167754;-3.7037902
"AUGUSTO FIGUEROA FTE 49, MADRID, SPAIN";9;2015;11.5;11;90;0;"POLICIA MUNICIPAL";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4167754;-3.7037902
