"LUGAR";"MES";"ANIO";"HORA";"HORA_C";"IMP_BOL";"PUNTOS";"DENUNCIANTE";"CALIFICACION";"CAT";"HECHO.BOL";"VEL_LIMITE";"VEL_CIRCULA";"lat";"lon"
"CL BRAVO MURILLO 8, MADRID, SPAIN";11;2015;12.47;12;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4345308;-3.7041483
"GONZALO DE CORDOBA 3, MADRID, SPAIN";9;2015;12.36;12;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4322991;-3.7032386
"HUESCA 30, MADRID, SPAIN";8;2015;9.5;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4163087;-3.7222342
"CL VELAZQUEZ 35, MADRID, SPAIN";12;2015;17.15;17;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4256219;-3.6844109
"M-30 XC K 19,06 CR4, MADRID, SPAIN";8;2015;21.49;21;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;98;40.4167754;-3.7037902
"PZ SANTA ANA 8, MADRID, SPAIN";5;2015;12.18;12;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.3414313;-3.3815818
"SAN NICOLAS 3, MADRID, SPAIN";12;2015;6.45;6;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4154647;-3.7121789
"TRIBULETE 1, MADRID, SPAIN";12;2015;16.16;16;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4082016;-3.7015031
"HERNANI 36, MADRID, SPAIN";5;2015;10.5;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4481618;-3.7003528
"M-30 C-1 KM 6,700 CR3, MADRID, SPAIN";5;2015;15.28;15;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;100;40.4167754;-3.7037902
"HERMANOS GARCIA NOBLEJAS 25, MADRID, SPAIN";10;2015;19.07;19;200;0;"SACE";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN DOBLE FILA.";NA;NA;40.4335817;-3.6343675
"AGUSTIN QUEROL 6, MADRID, SPAIN";5;2015;10.03;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4074716;-3.6828733
"EMBAJADORES 184, MADRID, SPAIN";2;2015;11.18;11;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.3933891;-3.6943962
"VALLE 23, MADRID, SPAIN";1;2016;13.56;13;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4434393;-3.7181738
"EMBAJADORES 186, MADRID, SPAIN";2;2015;11.23;11;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.3932165;-3.6942975
"MANUEL SILVELA 12, MADRID, SPAIN";3;2015;17.32;17;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4297394;-3.6987194
"NARDO 2, MADRID, SPAIN";3;2015;17.08;17;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4656904;-3.6928475
"MENORCA 29, MADRID, SPAIN";4;2015;11.25;11;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4195032;-3.675617
"A5 KM 4.0 SALIDA, MADRID, SPAIN";3;2015;10.48;10;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;89;40.4529615;-3.5772417
"GENERAL PARDIÑAS 13, MADRID, SPAIN";9;2015;13.45;13;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4251403;-3.678923
"CL ABADA 2, MADRID, SPAIN";1;2016;9.58;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4190231;-3.7037326
"A5 KM 4.0 SALIDA, MADRID, SPAIN";5;2015;11.53;11;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;96;40.4529615;-3.5772417
"RABIDA 15, MADRID, SPAIN";1;2016;20.42;20;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4531378;-3.7117566
"ESPALTER 2, MADRID, SPAIN";9;2015;10.24;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4126183;-3.690024
"BRAVO MURILLO 293, MADRID, SPAIN";10;2015;15.23;15;200;0;"SACE";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN CARRIL RESERVADO PARA USO, PARADA O ESTACIONAMIENTO EXCLUSIVO DEL TRANSPORTE PÚBLICO URBANO.";NA;NA;40.4609705;-3.6984031
"PRINCIPE DE VERGARA 110, MADRID, SPAIN";4;2015;17.03;17;200;0;"SACE";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN DOBLE FILA.";NA;NA;40.4393349;-3.6789168
"PEDRO TEIXEIRA 8, MADRID, SPAIN";10;2015;17.52;17;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4548351;-3.6941898
"JOSE ABASCAL 34, MADRID, SPAIN";2;2015;17.36;17;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4381144;-3.6957349
"INFANTAS 44, MADRID, SPAIN";3;2015;14.58;14;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4199663;-3.6969408
"JUAN BRAVO 3, MADRID, SPAIN";2;2015;14.52;14;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4330964;-3.684839
"HERMOSILLA 32, MADRID, SPAIN";6;2015;9.34;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4262253;-3.683678
"M-30 C-1 KM 6,700 CR3, MADRID, SPAIN";2;2015;10.34;10;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;95;40.4167754;-3.7037902
"AV PIO XII 5, MADRID, SPAIN";6;2015;17.01;17;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4611004;-3.6766316
"PLANETA TIERRA 2, MADRID, SPAIN";2;2015;9.41;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.3928862;-3.6784651
"M-30 FT K 04,150 CR4, MADRID, SPAIN";1;2016;19.14;19;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;78;40.4167754;-3.7037902
"M-30 FT K 04,150 CR4, MADRID, SPAIN";2;2015;11.22;11;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;75;40.4167754;-3.7037902
"JOSE GUTIERREZ ABASCAL 3, MADRID, SPAIN";4;2015;17.47;17;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.441011;-3.6905947
"AV VALLADOLID 81, MADRID, SPAIN";9;2015;12.35;12;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4327051;-3.7336081
"RAMIRO MAEZTU-D.R.MDEZ PIDAL, MADRID, SPAIN";8;2015;17.56;17;200;0;"AGENTES DE MOVILIDAD";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR SOBRE O JUNTO A REFUGIO, ISLETA, MEDIANA DE PROTECCIÓN O ELEMENTOS CANALIZADORES DEL TRÁFICO.";NA;NA;40.4167754;-3.7037902
"SAN VICENTE FERRER 86, MADRID, SPAIN";7;2015;13.34;13;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4263123;-3.7089991
"SAN JENARO-PO TALLERES, MADRID, SPAIN";8;2015;20.15;20;200;4;"POLICIA MUNICIPAL";"GRAVE";"SEMÁFORO";"REBASAR UN SEMÁFORO EN FASE ROJA.";NA;NA;40.4167754;-3.7037902
"CL CASTILLO 20, MADRID, SPAIN";1;2016;10.16;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4340517;-3.6991554
"ANTONIO SALVADOR 101, MADRID, SPAIN";11;2015;14.1;14;200;0;"POLICIA MUNICIPAL";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR OBSTACULIZANDO LA UTILIZACIÓN DE UN VADO SEÑALIZADO CORRECTAMENTE Y EN ACCESOS A INMUEBLES.";NA;NA;40.3846992;-3.7059197
"ANICETO MARINAS 100, MADRID, SPAIN";4;2015;13.58;13;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4284642;-3.730592
"CARTAGENA 6, MADRID, SPAIN";11;2015;16.58;16;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4310579;-3.6704348
"SUBTRRANEO COSTA RICA, MADRID, SPAIN";1;2016;14.24;14;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS HASTA 50km/h.";50;70;40.4167754;-3.7037902
"LEGANITOS 24, MADRID, SPAIN";11;2015;19.37;19;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4222806;-3.7104444
"M-30 XC K 10,300 CR3, MADRID, SPAIN";11;2015;2.25;2;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;76;40.4167754;-3.7037902
"VERGARA 16, MADRID, SPAIN";12;2015;1.25;1;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4217303;-3.5250066
"CL DOCTOR FOURQUET 34, MADRID, SPAIN";12;2015;13.25;13;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4069643;-3.6997799
"GENERAL ORAA 80, MADRID, SPAIN";2;2015;11.23;11;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4357068;-3.6771067
"AYALA 115, MADRID, SPAIN";6;2015;11.01;11;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4271509;-3.6693779
"M-30 XC K 16,530 CR3, MADRID, SPAIN";9;2015;6.1;6;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;74;40.4167754;-3.7037902
"CASTELLANA 130, MADRID, SPAIN";1;2016;20.18;20;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4502138;-3.6902034
"ORELLANA 9, MADRID, SPAIN";5;2015;9.5;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4265304;-3.6950056
"M-30 XC K 16,530 CR2-3, MADRID, SPAIN";4;2015;23.43;23;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;77;40.4167754;-3.7037902
"M-30 NC K 17,170 CR1, MADRID, SPAIN";9;2015;18.45;18;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;79;40.4167754;-3.7037902
"M-30 CALZADA 2 KM 27.000, MADRID, SPAIN";5;2015;22.59;22;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;100;40.443297;-3.7049196
"CL GOYA 2, MADRID, SPAIN";12;2015;12.3;12;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR POR TIEMPO SUPERIOR A 30 MINUTOS EN ZONA DE CARGA Y DESCARGA DURANTE LAS HORAS FIJADAS PARA SU USO.";NA;NA;40.4251949;-3.6887681
"JUAN MONTALVO 9, MADRID, SPAIN";2;2015;12.43;12;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4475006;-3.7104591
"LOPEZ DE HOYOS 178, MADRID, SPAIN";11;2015;17.22;17;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN ZONA Y HORARIO DE CARGA Y DESCARGA SIN REALIZAR OPERACIONES CON ESA FINALIDAD.";NA;NA;40.4473609;-3.6691357
"CL DELICIAS 27, MADRID, SPAIN";11;2015;18.21;18;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4041307;-3.6919478
"SEGOVIA 28, MADRID, SPAIN";5;2015;17.2;17;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4139866;-3.7151555
"SANTA TERESA 5, MADRID, SPAIN";4;2015;12.3;12;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4258643;-3.6957934
"PZ CEBADA 5, MADRID, SPAIN";7;2015;15;15;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4114513;-3.7093627
"CONCHA ESPINA 6, MADRID, SPAIN";1;2016;17.15;17;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4518052;-3.6889034
"MARTIRES CONCEPCIONISTAS 17, MADRID, SPAIN";5;2015;9.06;9;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4287922;-3.6709397
"AV MEN. PELAYO 14, MADRID, SPAIN";8;2015;10.01;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4167754;-3.7037902
"PO MARQU.ZAFRA 34, MADRID, SPAIN";6;2015;16.58;16;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4167754;-3.7037902
"AV C BARCELONA S/N, MADRID, SPAIN";8;2015;7.57;7;30;0;"AGENTES DE MOVILIDAD";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR MOTOCICLETA O CICLOMOTOR SOBRE LA ACERA OBSTACULIZANDO EL TRÁNSITO DE PEATONES.";NA;NA;40.2689831;-4.0079315
"ESPOZ Y MINA 10, MADRID, SPAIN";5;2015;10.4;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4157687;-3.7024003
"GENERAL PARDIÑAS 103, MADRID, SPAIN";12;2015;13.43;13;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4369195;-3.6777757
"NAVES 14A, MADRID, SPAIN";9;2015;17.4;17;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.398899;-3.7062582
"HILERAS 16, MADRID, SPAIN";11;2015;16.46;16;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4178439;-3.7073952
"M-30 NL K 13,860 CR1, MADRID, SPAIN";3;2015;1.37;1;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;88;40.4167754;-3.7037902
"GASOMETRO 1, MADRID, SPAIN";8;2015;10.23;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR POR TIEMPO SUPERIOR A 30 MINUTOS EN ZONA DE CARGA Y DESCARGA DURANTE LAS HORAS FIJADAS PARA SU USO.";NA;NA;40.4057008;-3.7082216
"CS ANGELES 2, MADRID, SPAIN";6;2015;9.01;9;90;0;"AGENTES DE MOVILIDAD";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO. RESERVA CARGA Y DESCARGA EN HORAS UTILIZACIÓN";NA;NA;40.4167754;-3.7037902
"MARCELIANO SANTA MARIA 12, MADRID, SPAIN";1;2016;10.32;10;200;0;"SER";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN ZONA SEÑALIZADA PARA USO EXCLUSIVO DE PERSONAS CON MOVILIDAD REDUCIDA.";NA;NA;40.4516342;-3.6882992
"BRUSELAS 48, MADRID, SPAIN";9;2015;20.42;20;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4380805;-3.6633168
"AV MENENDEZ PELAYO 65, MADRID, SPAIN";12;2015;17.23;17;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4138651;-3.6770212
"M-30 C-1 KM 6,700 CR3, MADRID, SPAIN";10;2015;22.42;22;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;110;40.4167754;-3.7037902
"GENERAL PERON 29, MADRID, SPAIN";7;2015;13.21;13;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4530609;-3.693351
"M-30 FT K 04,150 CR4, MADRID, SPAIN";8;2015;15.22;15;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;76;40.4167754;-3.7037902
"ORENSE 19, MADRID, SPAIN";10;2015;15.18;15;200;0;"SER";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN ZONA SEÑALIZADA PARA USO EXCLUSIVO DE PERSONAS CON MOVILIDAD REDUCIDA.";NA;NA;40.42;-3.8345
"PO DE LA ROSALEDA 2, MADRID, SPAIN";1;2016;17.43;17;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4167754;-3.7037902
"A5 KM 4.0 SALIDA, MADRID, SPAIN";2;2015;16.1;16;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;77;40.4529615;-3.5772417
"PO YESERIAS 6, MADRID, SPAIN";6;2015;14.32;14;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4167754;-3.7037902
"M-30 C-1 KM 6,700 CR3, MADRID, SPAIN";1;2016;12.41;12;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;109;40.4167754;-3.7037902
"PUENTE FRANCESES PASO ELEVADO, MADRID, SPAIN";5;2015;10.5;10;1000;6;"POLICIA MUNICIPAL";"MUY GRAVE";"ALCOHOL/DROGAS";"CONDUCIR CON UNA TASA DE ALCOHOLEMIA NO PERMITIDA SUPERIOR A 0.50 MG/L EN AIRE ESPIRADO.";NA;NA;40.446305;-3.6922086
"M-30 C-1 KM 6,700 CR1, MADRID, SPAIN";2;2015;8.59;8;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;101;40.4167754;-3.7037902
"NIEREMBERG 2, MADRID, SPAIN";11;2015;12.56;12;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR POR TIEMPO SUPERIOR A 30 MINUTOS EN ZONA DE CARGA Y DESCARGA DURANTE LAS HORAS FIJADAS PARA SU USO.";NA;NA;40.4467101;-3.6705237
"PISCIS 4, MADRID, SPAIN";3;2015;14.27;14;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.408019;-3.6668659
"M-30 XC K 16,530 CR3, MADRID, SPAIN";8;2015;13.01;13;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;76;40.4167754;-3.7037902
