var_provincia;var_sexo;var_tipocontrato;var_grupo_cnae;var_tipojornada;var_antiguedad;salario_bruto_anual_medio;factor_elev
1;hombre;Indefinido;N;Tiempo parcial;De cinco a diez años;14299.21;37.35
1;hombre;Indefinido;N;Tiempo parcial;Más de diez años;10040;32.36
1;hombre;Indefinido;O;Tiempo completo;De cinco a diez años;40377.82961;738.14
1;hombre;Indefinido;O;Tiempo completo;De dos a cinco años;43032.16243;334.19
1;hombre;Indefinido;O;Tiempo completo;Más de diez años;42802.33363;4605.4
1;hombre;Indefinido;O;Tiempo completo;Menos de dos años;26998.6853;96.44
1;hombre;Indefinido;O;Tiempo parcial;Más de diez años;26649.17;64.11
1;hombre;Indefinido;P;Tiempo completo;De cinco a diez años;28126.75751;266.73
1;hombre;Indefinido;P;Tiempo completo;De dos a cinco años;30273.46871;105.49
1;hombre;Indefinido;P;Tiempo completo;Más de diez años;44572.27985;476.45
1;hombre;Indefinido;P;Tiempo parcial;De cinco a diez años;33224.36129;28.39
1;hombre;Indefinido;P;Tiempo parcial;Más de diez años;6172.66;28.39
1;hombre;Indefinido;Q;Tiempo completo;De cinco a diez años;44308.92385;491.81
1;hombre;Indefinido;Q;Tiempo completo;De dos a cinco años;31281.4818;282.33
1;hombre;Indefinido;Q;Tiempo completo;Más de diez años;31743.53314;676.23
1;hombre;Indefinido;Q;Tiempo parcial;Más de diez años;19707.25;27.08
1;hombre;Indefinido;R;Tiempo completo;De cinco a diez años;52787.49;91.2
1;hombre;Indefinido;R;Tiempo completo;De dos a cinco años;22117.72348;123.94
1;hombre;Indefinido;R;Tiempo completo;Más de diez años;20848.2;18.29
1;hombre;Indefinido;R;Tiempo parcial;De dos a cinco años;7837.237717;29.39
1;hombre;Indefinido;R;Tiempo parcial;Menos de dos años;15586.73;34
1;hombre;Indefinido;S;Tiempo completo;De cinco a diez años;21277.21203;224.17
1;hombre;Indefinido;S;Tiempo completo;Más de diez años;36127.10481;173.76
1;hombre;Temporal;B;Tiempo parcial;Más de diez años;5047.656022;22.32
1;hombre;Temporal;C;Tiempo completo;De cinco a diez años;32728.65831;341.85
1;hombre;Temporal;C;Tiempo completo;De dos a cinco años;31779.66667;437.73
1;hombre;Temporal;C;Tiempo completo;Menos de dos años;24803.20317;1950.92
1;hombre;Temporal;C;Tiempo parcial;De cinco a diez años;5223.472907;29.27
1;hombre;Temporal;C;Tiempo parcial;Más de diez años;8997.838479;1699.04
1;hombre;Temporal;C;Tiempo parcial;Menos de dos años;19690.87113;41.36
1;hombre;Temporal;D;Tiempo parcial;Más de diez años;6473.2;6.37
1;hombre;Temporal;E;Tiempo completo;De dos a cinco años;29734.27;144.63
1;hombre;Temporal;E;Tiempo completo;Menos de dos años;18190.16788;93.75
1;hombre;Temporal;E;Tiempo parcial;Más de diez años;28485.77052;35.07
1;hombre;Temporal;F;Tiempo completo;De dos a cinco años;25129.44;27.35
1;hombre;Temporal;F;Tiempo completo;Menos de dos años;22937.65789;530.55
1;hombre;Temporal;F;Tiempo parcial;Menos de dos años;5962.197884;174.66
1;hombre;Temporal;G;Tiempo completo;Menos de dos años;21179.01;32.4
1;hombre;Temporal;G;Tiempo parcial;Más de diez años;7422.8;60.61
1;hombre;Temporal;G;Tiempo parcial;Menos de dos años;7121.89;60.61
1;hombre;Temporal;H;Tiempo completo;Menos de dos años;21943.03477;218.67
1;hombre;Temporal;H;Tiempo parcial;Más de diez años;11735.24;21.07
1;hombre;Temporal;I;Tiempo completo;Menos de dos años;18643.09;45.12
1;hombre;Temporal;I;Tiempo parcial;Menos de dos años;10672.943;339.31
1;hombre;Temporal;J;Tiempo completo;De cinco a diez años;17347.04667;102.93
1;hombre;Temporal;J;Tiempo completo;De dos a cinco años;13072.37;34.31
1;hombre;Temporal;J;Tiempo completo;Menos de dos años;24010.69257;55.21
1;hombre;Temporal;J;Tiempo parcial;Más de diez años;13532.25;34.5
